customer_id,company_name,signup_date,segment,industry,acquisition_channel,city,state
18,Account-000018,2025-08-18,SMB,Hospitality,Marketplace,Kochi,Kerala
19,Account-000019,2024-06-15,SMB,Retail,Partner,Bengaluru,Karnataka
23,Account-000023,2023-12-14,SMB,Healthcare,Paid Ads,Gurugram,Haryana
43,Account-000043,2025-04-07,Enterprise,Education,Outbound Sales,Chennai,Tamil Nadu
48,Account-000048,2023-03-01,SMB,Education,Organic Search,Indore,Madhya Pradesh
50,Account-000050,2025-02-13,SMB,Hospitality,Outbound Sales,Kochi,Kerala
58,Account-000058,2024-09-12,SMB,Financial Services,Paid Ads,Coimbatore,Tamil Nadu
119,Account-000119,2024-02-27,Mid-Market,Financial Services,Partner,Delhi,Delhi
155,Account-000155,2025-10-28,SMB,Manufacturing,Outbound Sales,Bengaluru,Karnataka
222,Account-000222,2023-10-05,SMB,Manufacturing,Partner,Chennai,Tamil Nadu
247,Account-000247,2024-12-07,SMB,Healthcare,Organic Search,Jaipur,Rajasthan
259,Account-000259,2025-01-20,Enterprise,Healthcare,Organic Search,Mumbai,Maharashtra
283,Account-000283,2025-10-03,Mid-Market,Healthcare,Paid Ads,Ahmedabad,Gujarat
290,Account-000290,2025-12-24,SMB,Education,Referral,Gurugram,Haryana
291,Account-000291,2025-11-16,SMB,Logistics,Paid Ads,Bengaluru,Karnataka
300,Account-000300,2025-08-22,Enterprise,Manufacturing,Marketplace,Hyderabad,Telangana
308,Account-000308,2025-11-30,SMB,Real Estate,Referral,Bengaluru,Karnataka
319,Account-000319,2025-08-27,Mid-Market,Manufacturing,Marketplace,Gurugram,Haryana
334,Account-000334,2023-10-18,Mid-Market,Manufacturing,Marketplace,Noida,Uttar Pradesh
335,Account-000335,2025-05-07,SMB,IT Services,Referral,Hyderabad,Telangana
341,Account-000341,2024-05-19,Mid-Market,Real Estate,Paid Ads,Coimbatore,Tamil Nadu
356,Account-000356,2022-12-23,SMB,Healthcare,Organic Search,Gurugram,Haryana
378,Account-000378,2026-05-12,SMB,Logistics,Outbound Sales,Kochi,Kerala
379,Account-000379,2023-08-06,SMB,Healthcare,Marketplace,Hyderabad,Telangana
460,Account-000460,2026-01-22,Mid-Market,Hospitality,Referral,Delhi,Delhi
508,Account-000508,2023-09-01,Enterprise,Education,Outbound Sales,Chennai,Tamil Nadu
531,Account-000531,2024-11-18,SMB,Financial Services,Marketplace,Coimbatore,Tamil Nadu
575,Account-000575,2025-03-11,Mid-Market,Real Estate,Organic Search,Gurugram,Haryana
668,Account-000668,2025-01-10,SMB,Manufacturing,Outbound Sales,Delhi,Delhi
