customer_id,segment,industry,state,tier,billing_cycle,mrr,arr,discount_pct,tenure_months,seats_licensed,seat_utilisation,feature_adoption,login_trend_pct,t90_tickets,t90_avg_csat,late_payment_rate_180d,months_since_activity,churn_probability_90d,churn_probability_12m,gross_margin_arr,revenue_at_risk,price_sensitivity,reasons,primary_reason,scored_at
5678,SMB,Real Estate,Karnataka,Business,Annual,4096.0,49152.0,8.0,21.2,4,0.0,0.1037037037037037,-0.3333333333333333,15.0,3.333333333333333,0.0,2.0,0.685,0.9902,38339.0,48670.0,0.0,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 16.3}, {""feature"": ""t90_avg_resolution_h"", ""label"": ""Slow ticket resolution"", ""impact_pp"": 6.4}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 4.6}]",Heavy support load,2026-06-30
6515,Mid-Market,Manufacturing,Tamil Nadu,Growth,Annual,11275.0,135300.0,12.0,21.2,23,0.0434782608695652,0.0833333333333333,-0.4285714285714285,23.0,2.9130434782608696,0.0,2.0,0.6976,0.9916,105534.0,134163.0,0.0,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 15.1}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 6.5}, {""feature"": ""t90_avg_resolution_h"", ""label"": ""Slow ticket resolution"", ""impact_pp"": 6.4}]",Heavy support load,2026-06-30
46227,SMB,Education,Kerala,Starter,Annual,2146.0,25752.0,11.734551162563404,33.1,9,0.1111111111111111,0.1111111111111111,-1.0,19.0,2.6842105263157894,0.0,4.0,0.5882,0.9713,20087.0,25013.0,0.066,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 12.5}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 10.0}, {""feature"": ""t90_avg_csat"", ""label"": ""Unhappy with support"", ""impact_pp"": 4.8}]",Heavy support load,2026-06-30
23924,Mid-Market,Real Estate,Madhya Pradesh,Business,Monthly,62864.0,754368.0,11.0,0.4,73,0.3972602739726027,0.3777777777777777,0.0,6.0,3.333333333333333,1.0,1.0,0.4526,0.9102,588407.0,686626.0,0.343,"[{""feature"": ""tenure_months"", ""label"": ""Still early in lifecycle"", ""impact_pp"": 10.4}, {""feature"": ""discount_pct"", ""label"": ""Price sensitive (deep discount)"", ""impact_pp"": 10.4}, {""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 8.8}]",Still early in lifecycle,2026-06-30
28898,Mid-Market,Real Estate,Rajasthan,Enterprise,Annual,36280.0,435360.0,4.0,12.0,22,0.0606060606060606,0.2,0.0,25.0,2.72,1.0,1.0,0.4431,0.9038,339581.0,393478.0,0.048,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 14.2}, {""feature"": ""login_trend_pct"", ""label"": ""Usage trending down"", ""impact_pp"": 9.1}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 2.7}]",Heavy support load,2026-06-30
44570,Enterprise,IT Services,Tamil Nadu,Enterprise,Annual,89387.0,1072644.0,29.72285136635429,21.5,71,0.2206572769953051,0.0166666666666666,0.375,13.0,3.3076923076923075,0.0,1.0,0.3703,0.8428,836662.0,904024.0,0.24,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 10.7}, {""feature"": ""discount_pct"", ""label"": ""Price sensitive (deep discount)"", ""impact_pp"": 8.9}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 6.6}]",Heavy support load,2026-06-30
28485,Enterprise,Hospitality,West Bengal,Enterprise,Annual,213507.0,2562084.0,15.0,9.8,163,0.0879345603271983,0.0555555555555555,-0.4285714285714285,19.0,2.6842105263157894,0.0,1.0,0.5475,0.9581,1998426.0,2454733.0,0.0,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 10.2}, {""feature"": ""login_trend_pct"", ""label"": ""Usage trending down"", ""impact_pp"": 7.4}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 5.3}]",Heavy support load,2026-06-30
33208,Mid-Market,Retail,Maharashtra,Enterprise,Monthly,56683.0,680196.0,6.0,21.9,36,0.1388888888888889,0.1722222222222222,-0.3846153846153846,7.0,3.4285714285714284,0.6,1.0,0.5521,0.9597,530553.0,652784.0,0.0,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 12.7}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 12.5}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 3.5}]",Heavy support load,2026-06-30
39062,SMB,Healthcare,Karnataka,Growth,Monthly,6553.0,78636.0,12.0,32.8,13,0.1794871794871795,0.2261904761904762,-0.6428571428571429,9.0,3.555555555555556,0.6,1.0,0.6853,0.9902,61336.0,77865.0,0.099,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 18.6}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 13.9}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 7.7}]",Heavy support load,2026-06-30
5215,Mid-Market,Hospitality,Telangana,Enterprise,Annual,80557.0,966684.0,9.0,21.3,54,0.074074074074074,0.1722222222222222,-0.7857142857142857,10.0,3.4,0.0,1.0,0.5258,0.9495,754014.0,917866.0,0.0,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 17.4}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 10.6}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 5.8}]",Heavy support load,2026-06-30
42962,SMB,Education,Tamil Nadu,Starter,Monthly,570.0,6840.0,0.0,2.8,2,0.5,0.2777777777777778,0.0,13.0,3.076923076923077,1.0,1.0,0.6426,0.9837,5335.0,6729.0,0.227,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 24.9}, {""feature"": ""tenure_months"", ""label"": ""Still early in lifecycle"", ""impact_pp"": 14.4}, {""feature"": ""late_payment_rate_180d"", ""label"": ""Paying late"", ""impact_pp"": 11.0}]",Heavy support load,2026-06-30
18,SMB,Hospitality,Kerala,Growth,Annual,1013.0,12156.0,18.0,10.4,2,0.0,0.0952380952380952,-0.5882352941176471,9.0,3.333333333333333,0.0,1.0,0.4153,0.8831,9482.0,10735.0,0.299,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 11.8}, {""feature"": ""discount_pct"", ""label"": ""Price sensitive (deep discount)"", ""impact_pp"": 10.0}, {""feature"": ""tenure_months"", ""label"": ""Still early in lifecycle"", ""impact_pp"": 7.5}]",Heavy support load,2026-06-30
27373,SMB,Logistics,Maharashtra,Starter,Monthly,835.0,10020.0,1.0,1.6,3,0.0,0.0833333333333333,0.0,16.0,2.875,1.0,1.0,0.8584,0.9996,7816.0,10016.0,0.116,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 7.0}, {""feature"": ""tenure_months"", ""label"": ""Still early in lifecycle"", ""impact_pp"": 6.9}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 5.5}]",Heavy support load,2026-06-30
24478,Mid-Market,Education,Delhi,Business,Monthly,20688.0,248256.0,16.0,0.6,24,0.0416666666666666,0.1333333333333333,0.0,4.0,3.0,1.0,1.0,0.9126,0.9999,193640.0,248231.0,0.149,"[{""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 10.2}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 5.6}, {""feature"": ""tenure_months"", ""label"": ""Still early in lifecycle"", ""impact_pp"": 2.9}]",Seats sitting unused,2026-06-30
19694,SMB,Healthcare,Karnataka,Starter,Monthly,1925.0,23100.0,11.0,2.8,8,0.125,0.1666666666666666,0.0,4.0,2.75,1.0,1.0,0.5726,0.9666,18018.0,22328.0,0.319,"[{""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 16.4}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 12.7}, {""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 12.5}]",Seats sitting unused,2026-06-30
10776,SMB,Financial Services,Kerala,Starter,Annual,2098.0,25176.0,3.0,22.2,8,0.0,0.1666666666666666,-0.7142857142857143,12.0,2.5,0.0,2.0,0.8289,0.9991,19637.0,25153.0,0.0,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 15.9}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 13.7}, {""feature"": ""t90_avg_resolution_h"", ""label"": ""Slow ticket resolution"", ""impact_pp"": 8.0}]",Heavy support load,2026-06-30
17010,SMB,Healthcare,Tamil Nadu,Starter,Monthly,2009.0,24108.0,17.0,4.9,9,0.2962962962962963,0.6666666666666666,0.1428571428571428,9.0,3.6666666666666665,0.4,1.0,0.4547,0.9116,18804.0,21977.0,0.245,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 16.4}, {""feature"": ""discount_pct"", ""label"": ""Price sensitive (deep discount)"", ""impact_pp"": 11.3}, {""feature"": ""tenure_months"", ""label"": ""Still early in lifecycle"", ""impact_pp"": 9.1}]",Heavy support load,2026-06-30
6693,Enterprise,Hospitality,Tamil Nadu,Enterprise,Monthly,98223.0,1178676.0,12.0,20.4,69,0.1497584541062802,0.5833333333333334,-0.3333333333333333,5.0,3.6,0.2,1.0,0.3891,0.8607,919367.0,1014486.0,0.077,"[{""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 10.7}, {""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 6.5}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 5.0}]",Seats sitting unused,2026-06-30
34969,Mid-Market,Logistics,Karnataka,Growth,Annual,12407.0,148884.0,7.0,9.8,24,0.0416666666666666,0.0714285714285714,0.3333333333333333,25.0,2.88,0.0,1.0,0.7209,0.9939,116130.0,147976.0,0.0,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 18.8}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 8.8}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 5.3}]",Heavy support load,2026-06-30
33032,Mid-Market,Manufacturing,Gujarat,Growth,Annual,31421.0,377052.0,7.0,0.8,64,0.109375,0.1071428571428571,0.0,7.0,2.571428571428572,1.0,1.0,0.4837,0.929,294101.0,350281.0,0.008,"[{""feature"": ""tenure_months"", ""label"": ""Still early in lifecycle"", ""impact_pp"": 15.4}, {""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 13.6}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 6.8}]",Still early in lifecycle,2026-06-30
40154,Enterprise,Education,Haryana,Enterprise,Monthly,259027.0,3108324.0,8.0,5.5,184,0.0797101449275362,0.1833333333333333,0.0,2.0,2.5,0.4,1.0,0.4296,0.8941,2424493.0,2779152.0,0.018,"[{""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 15.7}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 9.2}, {""feature"": ""tenure_months"", ""label"": ""Still early in lifecycle"", ""impact_pp"": 6.5}]",Seats sitting unused,2026-06-30
8799,SMB,Real Estate,West Bengal,Growth,Monthly,7671.0,92052.0,4.0,21.2,14,0.3809523809523809,0.369047619047619,-0.2,9.0,3.555555555555556,1.0,1.0,0.3841,0.8561,71801.0,78806.0,0.186,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 16.0}, {""feature"": ""late_payment_rate_180d"", ""label"": ""Paying late"", ""impact_pp"": 4.9}, {""feature"": ""t90_avg_resolution_h"", ""label"": ""Slow ticket resolution"", ""impact_pp"": 3.1}]",Heavy support load,2026-06-30
49214,SMB,Agritech,Tamil Nadu,Starter,Monthly,2076.0,24912.0,4.0,23.0,8,0.3333333333333333,0.3611111111111111,-0.6,7.0,3.0,0.8,1.0,0.3783,0.8506,19431.0,21190.0,0.045,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 13.7}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 3.7}, {""feature"": ""late_payment_rate_180d"", ""label"": ""Paying late"", ""impact_pp"": 0.8}]",Heavy support load,2026-06-30
8359,Enterprise,Financial Services,West Bengal,Enterprise,Monthly,220148.0,2641776.0,21.0,37.8,182,0.097069597069597,0.3222222222222222,-0.56,4.0,4.0,0.8,1.0,0.4724,0.9225,2060585.0,2437038.0,0.708,"[{""feature"": ""discount_pct"", ""label"": ""Price sensitive (deep discount)"", ""impact_pp"": 25.7}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 6.9}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 2.3}]",Price sensitive (deep discount),2026-06-30
17920,Mid-Market,Hospitality,Tamil Nadu,Enterprise,Annual,95996.0,1151952.0,9.0,23.5,65,0.0564102564102564,0.0666666666666666,0.4285714285714285,20.0,3.1,0.0,1.0,0.501,0.938,898523.0,1080531.0,0.0,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 25.0}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 12.0}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 10.9}]",Heavy support load,2026-06-30
38367,Mid-Market,IT Services,Haryana,Growth,Monthly,31289.0,375468.0,6.0,2.6,63,0.2698412698412698,0.1547619047619047,0.0,8.0,2.875,0.6666666666666666,1.0,0.3763,0.8487,292865.0,318660.0,0.267,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 8.1}, {""feature"": ""late_payment_rate_180d"", ""label"": ""Paying late"", ""impact_pp"": 5.8}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 3.8}]",Heavy support load,2026-06-30
33280,Mid-Market,Financial Services,Karnataka,Business,Monthly,52225.0,626700.0,5.0,1.9,56,0.25,0.0777777777777777,0.0,5.0,3.0,1.0,1.0,0.7213,0.994,488826.0,622940.0,0.151,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 8.8}, {""feature"": ""seat_utilisation"", ""label"": ""Seats sitting unused"", ""impact_pp"": 8.6}, {""feature"": ""t90_avg_resolution_h"", ""label"": ""Slow ticket resolution"", ""impact_pp"": 8.5}]",Heavy support load,2026-06-30
19491,SMB,Financial Services,Maharashtra,Starter,Annual,2596.0,31152.0,3.0,9.2,10,0.4,0.2222222222222222,-0.0833333333333333,19.0,3.210526315789474,0.0,1.0,0.3853,0.8572,24299.0,26703.0,0.0,"[{""feature"": ""t90_tickets"", ""label"": ""Heavy support load"", ""impact_pp"": 18.2}, {""feature"": ""feature_adoption"", ""label"": ""Shallow product adoption"", ""impact_pp"": 6.6}, {""feature"": ""login_trend_pct"", ""label"": ""Usage trending down"", ""impact_pp"": 3.0}]",Heavy support load,2026-06-30
