subscription_id,customer_id,plan_id,start_date,end_date,status,mrr,discount_pct,billing_cycle,seats_licensed
18,18,2,2025-08-18,,Active,1013.0,18.0,Annual,2
19,19,2,2024-06-15,,Active,6553.0,12.0,Annual,13
23,23,2,2023-12-14,,Active,5683.0,2.0,Monthly,10
43,43,3,2025-04-07,,Active,81686.0,31.163581826547173,Monthly,110
48,48,1,2023-03-01,,Active,1950.0,12.111304852332587,Monthly,8
50,50,1,2025-02-13,,Active,3098.0,16.0,Annual,14
58,58,2,2024-09-12,,Active,5139.0,2.0,Monthly,9
119,119,3,2024-02-27,,Active,58864.0,7.0,Monthly,65
155,155,2,2025-10-28,,Active,5776.0,24.605209660086818,Monthly,12
222,222,1,2023-10-05,,Active,802.0,5.0,Monthly,3
247,247,3,2024-12-07,,Active,11489.0,2.0,Monthly,11
259,259,4,2025-01-20,,Active,262063.0,17.696971799938364,Annual,215
283,283,3,2025-10-03,,Active,70779.0,7.0,Monthly,79
290,290,1,2025-12-24,,Active,530.0,7.0,Annual,2
291,291,1,2025-11-16,,Active,1338.0,3.0,Monthly,5
300,300,4,2025-08-22,,Active,230901.0,7.0,Annual,161
308,308,2,2025-11-30,,Active,4562.0,13.0,Monthly,9
319,319,4,2025-08-27,,Active,25407.0,9.0,Annual,16
334,334,2,2023-10-18,,Active,29017.0,30.47525372632055,Annual,70
335,335,1,2025-05-07,,Active,1283.0,7.0,Monthly,5
341,341,3,2024-05-19,,Active,44187.0,7.0,Annual,48
356,356,1,2022-12-23,,Active,2917.0,18.08520360654989,Monthly,12
378,378,1,2026-05-12,,Active,2251.0,7.0,Annual,9
379,379,3,2023-08-06,,Active,12923.0,6.0,Monthly,13
460,460,3,2026-01-22,,Active,32006.0,18.0,Monthly,39
508,508,4,2023-09-01,,Active,229983.0,10.0,Annual,166
531,531,1,2024-11-18,,Active,2922.0,18.775082053795384,Monthly,13
575,575,3,2025-03-11,,Active,40616.0,11.0,Monthly,46
668,668,1,2025-01-10,,Active,548.0,4.0,Monthly,2
685,685,1,2023-12-11,,Active,2323.0,4.0,Monthly,9
689,689,2,2024-01-03,,Active,2363.0,2.0,Monthly,4
738,738,3,2024-01-04,,Active,151471.0,7.0,Annual,177
855,855,2,2024-03-27,,Active,3712.0,10.0,Monthly,7
874,874,3,2026-05-03,,Active,65363.0,5.0,Annual,71
895,895,1,2025-04-12,,Active,1946.0,10.0,Monthly,8
999,999,2,2026-02-24,,Active,11668.0,5.0,Annual,22
1001,1001,3,2024-03-05,,Active,12228.0,4.0,Annual,12
1004,1004,2,2024-12-05,,Active,29069.0,4.0,Annual,57
1022,1022,2,2025-08-08,,Active,31955.0,4.0,Monthly,63
1048,1048,2,2023-02-05,,Active,22042.0,7.0,Monthly,44
1054,1054,1,2023-10-22,,Active,2814.0,4.0,Monthly,11
1061,1061,1,2024-03-20,,Active,1560.0,5.0,Monthly,6
1073,1073,3,2025-05-20,,Active,2076.0,9.0,Monthly,2
1074,1074,1,2023-12-25,,Active,3231.0,6.0,Annual,13
1092,1092,1,2024-08-08,,Active,1046.0,6.0,Monthly,4
1107,1107,4,2025-09-17,,Active,34350.0,5.0,Monthly,21
1125,1125,1,2026-03-11,,Active,1283.0,7.0,Annual,5
1167,1167,2,2025-05-30,,Active,3712.0,10.0,Annual,7
1188,1188,1,2026-01-07,,Active,1283.0,7.0,Monthly,5
1227,1227,1,2025-05-29,,Active,3057.0,4.0,Monthly,12
1237,1237,1,2025-05-29,,Active,2011.0,7.0,Monthly,8
1240,1240,3,2024-02-25,,Active,10200.0,13.0,Annual,11
1275,1275,2,2025-10-02,,Active,17144.0,5.0,Monthly,33
1314,1314,2,2023-11-05,,Active,5652.0,11.0,Monthly,11
1345,1345,4,2025-11-07,,Active,237589.0,22.37660324228654,Monthly,197
1362,1362,3,2023-12-07,,Active,5518.0,16.0,Monthly,6
1385,1385,2,2023-08-16,,Active,1186.0,4.0,Monthly,2
1387,1387,2,2024-03-07,,Active,3836.0,7.0,Annual,7
1402,1402,4,2025-03-08,,Active,39682.0,7.0,Monthly,25
1406,1406,2,2025-01-10,,Active,33870.0,4.0,Annual,67
1460,1460,1,2025-04-26,,Active,1091.0,2.0,Annual,4
