ticket_id,customer_id,created_at,category,severity,resolution_hours,csat_score,is_escalated
16,19,2024-07-12,Performance,Low,11.2,4,0
18,23,2024-07-17,Outage,Low,15.0,5,0
19,23,2024-07-05,Performance,Low,22.6,4,0
29,48,2024-07-07,Integration,Low,21.0,5,0
30,48,2024-07-18,Feature Request,Low,15.6,5,0
31,48,2024-07-21,Outage,Low,5.1,3,0
60,119,2024-07-15,How-to,Low,20.2,4,0
61,119,2024-07-12,Integration,Medium,29.4,4,0
127,222,2024-07-04,Feature Request,Low,15.6,5,0
128,222,2024-07-09,Integration,High,60.8,5,1
129,222,2024-07-27,Feature Request,High,40.2,4,1
197,356,2024-07-16,Outage,Low,6.4,4,0
278,508,2024-07-13,Billing,Medium,41.8,5,0
279,508,2024-07-10,Billing,Low,25.7,3,0
280,508,2024-07-13,Billing,Medium,34.9,4,0
367,685,2024-07-30,Integration,Low,8.0,4,0
368,685,2024-07-21,Billing,High,148.9,4,0
369,685,2024-07-25,Feature Request,Medium,30.7,4,0
370,685,2024-07-26,Integration,Low,9.2,3,0
371,685,2024-07-18,Bug,High,18.3,5,1
372,685,2024-07-24,Outage,Low,43.6,2,0
396,738,2024-07-17,How-to,Critical,18.4,4,0
397,738,2024-07-31,Integration,Low,4.1,4,0
398,738,2024-07-03,Outage,Low,6.8,3,0
399,738,2024-07-07,Bug,Low,8.0,5,0
537,1001,2024-07-05,Outage,Low,8.3,5,0
538,1001,2024-07-06,Billing,High,17.7,3,0
539,1001,2024-07-11,Billing,High,15.3,4,0
575,1074,2024-07-05,Feature Request,Medium,20.5,3,0
709,1314,2024-07-29,Bug,Critical,59.0,3,1
710,1314,2024-07-03,Feature Request,High,24.4,3,0
737,1387,2024-07-19,Performance,High,49.2,3,0
1039,1974,2024-07-14,Feature Request,High,51.3,3,0
1101,2082,2024-07-21,Integration,Low,16.3,5,0
1162,2244,2024-07-19,Billing,Critical,34.9,3,1
1163,2244,2024-07-27,How-to,Low,3.2,3,0
1234,2383,2024-07-29,Integration,Low,5.6,4,0
1334,2529,2024-07-03,Outage,Critical,32.1,2,0
1335,2529,2024-07-03,Outage,Low,10.1,4,0
1377,2608,2024-07-17,Performance,Low,7.4,4,0
1378,2608,2024-07-02,Performance,High,92.1,3,0
1388,2620,2024-07-16,Bug,Medium,18.9,4,0
1389,2620,2024-07-06,Integration,Low,18.8,4,0
1390,2620,2024-07-16,Billing,Critical,16.5,2,0
1391,2620,2024-07-08,Outage,Medium,29.6,5,0
1483,2768,2024-07-15,How-to,Medium,2.4,4,0
1637,3054,2024-07-30,How-to,Low,20.7,4,0
1723,3171,2024-07-19,How-to,High,54.4,3,0
