customer_id,month_start,logins,active_days,seats_active,features_used,features_available,api_calls
19,2024-07-01,46,19,8,15,28,275
23,2024-07-01,25,16,8,24,28,658
48,2024-07-01,29,21,5,10,12,647
119,2024-07-01,9,12,33,17,45,1869
222,2024-07-01,28,17,2,10,12,248
334,2024-07-01,45,20,55,25,28,3918
341,2024-07-01,22,18,25,27,45,2469
356,2024-07-01,22,15,7,4,12,1447
379,2024-07-01,32,17,10,23,45,317
508,2024-07-01,3,6,40,11,60,4489
685,2024-07-01,1,2,1,2,12,27
689,2024-07-01,22,16,3,25,28,480
738,2024-07-01,33,17,105,15,45,31679
855,2024-07-01,65,22,6,27,28,1723
1001,2024-07-01,42,19,7,20,45,1274
1048,2024-07-01,56,21,37,26,28,12126
1054,2024-07-01,37,20,5,5,12,245
1061,2024-07-01,32,19,5,10,12,1251
1074,2024-07-01,16,16,6,6,12,690
1240,2024-07-01,27,18,6,26,45,1809
1314,2024-07-01,7,9,4,8,28,667
1362,2024-07-01,12,12,2,12,45,261
1385,2024-07-01,47,19,2,27,28,196
1387,2024-07-01,15,12,4,16,28,421
1974,2024-07-01,47,20,5,20,28,256
2082,2024-07-01,28,17,30,25,45,3949
2244,2024-07-01,6,8,3,7,12,173
2383,2024-07-01,17,17,7,5,12,281
2529,2024-07-01,4,6,2,3,12,499
2554,2024-07-01,23,16,62,47,60,4308
2575,2024-07-01,46,19,3,9,12,371
2608,2024-07-01,19,15,8,27,45,638
2620,2024-07-01,24,18,5,27,60,1409
2761,2024-07-01,35,17,6,6,12,2186
2768,2024-07-01,7,8,1,32,45,146
3054,2024-07-01,21,14,3,7,12,786
3171,2024-07-01,34,17,57,53,60,5203
3262,2024-07-01,32,18,40,17,28,3056
3285,2024-07-01,56,19,61,53,60,12698
3295,2024-07-01,66,22,53,21,28,1660
3421,2024-07-01,76,22,18,57,60,7830
3583,2024-07-01,50,21,2,9,12,191
3669,2024-07-01,16,13,7,16,28,707
4281,2024-07-01,33,19,12,14,28,761
4613,2024-07-01,5,7,6,10,28,960
4626,2024-07-01,6,9,23,16,45,1607
4788,2024-07-01,23,19,15,21,45,1417
4810,2024-07-01,23,14,23,29,45,2314
4819,2024-07-01,9,12,126,12,60,17944
4922,2024-07-01,6,10,3,13,28,55
4988,2024-07-01,30,18,33,27,45,5642
5023,2024-07-01,51,21,10,10,12,2457
5046,2024-07-01,12,12,20,31,45,1748
5217,2024-07-01,22,15,12,6,12,512
5370,2024-07-01,6,8,36,24,60,893
5535,2024-07-01,8,8,30,18,60,1766
5566,2024-07-01,12,15,2,6,28,257
5657,2024-07-01,31,16,1,10,12,249
5717,2024-07-01,13,12,15,30,45,279
5749,2024-07-01,26,17,3,14,28,445
5754,2024-07-01,14,16,2,10,12,111
5786,2024-07-01,52,22,3,15,28,171
5985,2024-07-01,30,18,4,8,12,938
6051,2024-07-01,12,11,7,7,12,233
6092,2024-07-01,22,13,58,34,45,5058
6096,2024-07-01,11,10,8,11,45,1440
6117,2024-07-01,23,16,84,31,45,9771
6149,2024-07-01,29,17,67,20,45,11611
6250,2024-07-01,18,11,5,6,12,767
6293,2024-07-01,27,18,54,29,45,4118
6298,2024-07-01,18,14,8,5,28,562
6487,2024-07-01,30,14,4,8,12,251
6514,2024-07-01,5,9,5,1,28,348
6545,2024-07-01,42,18,18,35,45,1285
6653,2024-07-01,15,15,8,34,45,802
6669,2024-07-01,19,15,5,11,12,468
6670,2024-07-01,19,15,29,40,60,4004
6786,2024-07-01,6,10,17,12,45,1972
6814,2024-07-01,43,18,7,6,12,1766
7058,2024-07-01,11,13,18,17,28,1316
7225,2024-07-01,31,15,23,35,45,2503
7227,2024-07-01,31,18,13,16,28,429
7342,2024-07-01,63,20,15,40,45,1039
7357,2024-07-01,37,18,12,19,28,917
7429,2024-07-01,16,13,149,7,60,31470
7430,2024-07-01,14,13,4,7,12,1095
7486,2024-07-01,4,6,3,7,12,26
7497,2024-07-01,18,13,41,22,28,5176
7526,2024-07-01,37,19,140,37,45,91001
7979,2024-07-01,18,15,98,41,60,4740
8004,2024-07-01,8,8,28,28,60,547
8013,2024-07-01,43,22,6,43,45,1187
8039,2024-07-01,3,5,2,9,28,106
8085,2024-07-01,47,20,9,24,28,1265
