feature,importance
billing_cycle,0.09453393865624701
u1m_logins,0.03910001986786718
tenure_months,0.03153681378784304
discount_pct,0.009973612275144816
u3m_logins,0.008800475610860642
t90_tickets,0.004461896703837065
t365_tickets,0.0017804006914929893
p180_invoices,0.001672687924523325
u3m_active_days,0.0009889211900318828
state,0.0009249786287212625
seat_utilisation,0.0008413394748640612
feature_adoption,0.0008112712466286365
late_payment_rate_180d,0.0007291545347074546
p180_late,0.0006911886389292798
mrr,0.0006482748068591393
tickets_per_seat_90d,0.0006040288380950998
u3m_seats_active,0.0005610198534040378
seat_trend_pct,0.0004161975642451021
u1m_active_days,0.0003867954043567101
acquisition_channel,0.000337696651921765
logins_per_seat_3m,0.00022332320148216178
u3m_api_calls,0.0001475817151678216
t90_avg_csat,0.00012160504963532048
p180_failed,8.792102180210648e-05
t90_escalations,5.290485727479921e-05
t90_avg_resolution_h,3.691921694715106e-05
t365_avg_csat,3.187612803429163e-05
arr,0.0
months_since_activity,0.0
active_day_rate_3m,0.0
features_available,0.0
seats_licensed,-8.944346373884748e-06
tier,-3.9773795577235926e-05
industry,-4.1867153239200094e-05
t90_high_sev,-4.3008984691200736e-05
segment,-8.230701716327449e-05
login_trend_pct,-0.00012636268068541567
p180_max_days_late,-0.00015757274037273006
u1m_seats_active,-0.00026538065996342675
p180_avg_days_late,-0.0005054507227413574
